tweet_id,author_id,created_at,text,like_count,retweet_count,reply_count,quote_count
1988603517389668504,988880465779216385,2025-11-12 13:43:19+00:00,Cuánto dinero le untaba Carlos Manzo y su vieja al judío @carlosalazraki  ?,0,0,0,0
1988603492832100627,135949549,2025-11-12 13:43:13+00:00,@EveretMark @SocCivilMx jajajaja jajaja jajajaja la generación Z precisamente fue uno de generación Z el que mató a Carlos manZo https://t.co/hbFyedxkxF,0,0,0,0
1988603480089755759,1479872983908954116,2025-11-12 13:43:10+00:00,Cuantas cuentas de chairos atacando  la muerte de Carlos Manzo  Nos vemos el 15 https://t.co/4PDXzoer7b,0,0,0,0
1988603436930339022,2390465190,2025-11-12 13:43:00+00:00,@ARBedolla Y también hace historia con la muerte de CARLOS MANZO,0,0,0,0
1988603200287744114,1808858003195768835,2025-11-12 13:42:04+00:00,@ChuchoOchoaMx 🤣🤣🤣🤣 hdp. Que era más fácil? Darle el apoyo a Carlos Manzo que además les beneficiaba al gobierno para quedar bien con el pueblo de Uruapan o poner todo ese tendedero de chatarra?,0,0,0,0
1988603160345321789,1495178788027572228,2025-11-12 13:41:54+00:00,Po esto será ? Fuertes declaraciones de Carlos Manzo en Uruapan Michoacán  @azucenau @AztecaNoticias @Radio_Formula @CNNEE @FoxNews @adnnoticiasmx @nytimes @WSJ @SecRubio @JJDiazMachuca @reformanacional @PressSec @El_Universal_Mx @MXvsCORRUPCION   https://t.co/oeHSFVph5o https://t.co/wkTQAav0ha,1,0,0,0
1988603139432538539,1298803882454286336,2025-11-12 13:41:49+00:00,"@GuacamayanLeaks @Claudiashein Solo por los porros reventadores del PRIAN, claro que cualquiera debe tener miedo son violentos son delincuentes, mandan a eliminar gente como Carlos Manzo. Nuestra presidenta debe cuidarse mucho!!",0,0,0,0
1988602822276120929,3494743584,2025-11-12 13:40:33+00:00,"A nueve días del crimen de Carlos Manzo, diputada acusa que “tocó intereses de políticos y criminales” https://t.co/kGBunSaFGo",0,2,0,0
1988602699722670336,1778982700545703936,2025-11-12 13:40:04+00:00,@carcano_jaime ¿Qué gobernador y partido tienen el poder para pactar con el CO en Michoacán? ¿Quiénes iban perder la gubernatura de Michoacán ante Carlos Manzo?,0,0,0,0
1988602681032896740,119051398,2025-11-12 13:40:00+00:00,"🗣️“Nos duelen homicidios que hay como el de Carlos Manzo”, pero la estrategia de seguridad “está dando resultados”, aseguró la presidenta Claudia Sheinbaum  https://t.co/akkMXfiQ6e https://t.co/Nau6AiPpmD",3,0,1,1
1988602678168199653,1621532639889858562,2025-11-12 13:39:59+00:00,"@guzman_tre @MLopezSanMartin Pues como lo dijo el protocolo no fallo, fue un éxito el asesinato de Carlos Manzo por parte del narcogobierno",0,0,0,0
1988602605761868099,1470940169658380289,2025-11-12 13:39:42+00:00,#PorSiNoLoViste 😱 @AristeguiOnline responde con firmeza a la señora frente a su posición victimizante de acusar a la derecha y a los comunicadores de aprovecharse del magnicidio de Carlos Manzo.👇🏻 https://t.co/p7bGELH4Ru,1,0,0,0
1988602409229394390,1145796962622459904,2025-11-12 13:38:55+00:00,Totalmente entendible la indignación y el dolor que vivimos lxs mexicanos con el asesinato de Carlos Manzo y la crisis de violencia y desapariciones. Pero que venga el PRIAN a decirnos que están “indignados” cuando ellos son responsables del inicio del crimen organizado. ¿?,0,0,0,0
1988602402271039666,707031640883785729,2025-11-12 13:38:53+00:00,@MLopezSanMartin Solo por precaución… Si fueron capaces de eliminar al señor del sombrero Carlos Manzo.. La oposición son capaces de todo con tal de recuperar el poder.🐀💩 https://t.co/iuqEBawTFr,0,0,0,0
1988602344842703326,155405490,2025-11-12 13:38:40+00:00,"@chiquenito_2 @art7951 Pero ambos te parecen sospechosos verdad? Osea crees que Carlos Manzo estaba ligado el narco pero también López verdad? O solo vemos lo que ""nos conviene""?",0,0,0,0
1988602337548788110,154597143,2025-11-12 13:38:38+00:00,Si así como la GN protege al narco hubiera protegido a Carlos Manzo? Ahorita el estuviera vivo. Trevilla es un pendejo pero el no lo sabe.,0,0,0,0
1988602280711733701,1729232720515956737,2025-11-12 13:38:24+00:00,@mario_dico50 Buenos días pinche asesino sabes que ya te fui a denunciar porque tú mataste a Carlos manzo pinche asesino,0,0,0,0
